split,context,y,memory_hit,c_h,n1,top_prob,mixer_loss,full_memory_loss,delta_loss
test,"(12, 76)",84,1,499.0,14.0,0.8316633105278015,1.807091,0.268192,1.538899
test,"(74, 12)",15,1,116.0,9.0,0.4482758641242981,3.752914,0.933211,2.819703
test,"(83, 12)",20,1,252.0,18.0,0.1944444477558136,4.704638,6.049764,-1.345126
test,"(14, 20)",506,1,315.0,25.0,0.3142857253551483,2.103264,3.161271,-1.058006
test,"(77, 68)",66,1,681.0,22.0,0.3186490535736084,3.533770,2.802641,0.731129
test,"(71, 83)",252,1,454.0,50.0,0.2070484608411789,7.446180,5.381164,2.065016
test,"(292, 485)",29,1,318.0,1.0,1.0,0.431376,0.036907,0.394469
test,"(460, 208)",485,1,179.0,21.0,0.4189944267272949,2.552236,2.055908,0.496327
test,"(397, 15)",13,1,115.0,3.0,0.643478274345398,2.818459,0.543282,2.275176
test,"(324, 67)",1,1,293.0,26.0,0.351535826921463,5.111220,3.643251,1.467969
test,"(460, 292)",485,1,118.0,9.0,0.5932203531265259,1.648305,1.791190,-0.142885
test,"(389, 133)",133,1,894.0,13.0,0.7203579545021057,0.792848,1.296508,-0.503661
test,"(90, 320)",495,1,113.0,3.0,0.8407079577445984,1.135625,0.240839,0.894786
test,"(318, 448)",426,1,596.0,6.0,0.6661073565483093,0.248138,0.386402,-0.138263
test,"(34, 400)",82,1,353.0,27.0,0.37960338592529297,1.291475,0.956923,0.334552
test,"(34, 400)",8,1,353.0,27.0,0.37960338592529297,3.529937,3.265589,0.264348
test,"(317, 59)",77,1,10.0,2.0,0.8999999761581421,0.651174,0.172900,0.478273
test,"(134, 43)",68,1,402.0,22.0,0.305970162153244,3.422709,3.308668,0.114041
test,"(75, 84)",66,1,283.0,7.0,0.5053003430366516,3.741525,1.918679,1.822846
test,"(236, 34)",400,1,36.0,4.0,0.3611111044883728,1.507037,1.259961,0.247076
test,"(400, 82)",389,1,354.0,44.0,0.12994350492954254,2.898866,2.855233,0.043633
test,"(92, 133)",133,1,751.0,21.0,0.9094540476799011,0.916836,0.148098,0.768738
test,"(90, 134)",188,1,123.0,22.0,0.49593496322631836,4.721493,6.279905,-1.558412
test,"(51, 64)",417,1,60.0,3.0,0.5,3.334050,0.813559,2.520491
test,"(77, 342)",218,1,194.0,9.0,0.7628865838050842,1.559755,0.345647,1.214108
